[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'mvcConversionService'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'requestMappingHandlerAdapter'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'httpRequestHandlerAdapter'
[2024-11-20 17:57:15:3682] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'simpleControllerHandlerAdapter'
[2024-11-20 17:57:15:3683] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'handlerExceptionResolver'
[2024-11-20 17:57:15:3683] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'handlerExceptionResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3688] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcViewResolver'
[2024-11-20 17:57:15:3689] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'mvcViewResolver' via factory method to bean named 'mvcContentNegotiationManager'
[2024-11-20 17:57:15:3690] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewNameTranslator'
[2024-11-20 17:57:15:3691] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'defaultViewResolver'
[2024-11-20 17:57:15:3695] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewResolver'
[2024-11-20 17:57:15:3695] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'viewResolver' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@6edb9ffb'
[2024-11-20 17:57:15:3696] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'viewResolver'
[2024-11-20 17:57:15:3697] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$SpringDocSpringDataWebPropertiesProvider'
[2024-11-20 17:57:15:3698] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'springDataWebPropertiesProvider'
[2024-11-20 17:57:15:3698] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocConfiguration$WebConversionServiceConfiguration'
[2024-11-20 17:57:15:3699] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'webConversionServiceProvider'
[2024-11-20 17:57:15:3699] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'localSpringDocParameterNameDiscoverer'
[2024-11-20 17:57:15:3699] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'additionalModelsConverter'
[2024-11-20 17:57:15:3699] DEBUG 37732 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'additionalModelsConverter' via factory method to bean named 'springdocObjectMapperProvider'
