[2024-11-14 18:01:36:2754] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[2024-11-14 18:01:36:2754] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@32cf2faf'
[2024-11-14 18:01:36:2764] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
[2024-11-14 18:01:36:2765] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
[2024-11-14 18:01:36:2765] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
[2024-11-14 18:01:36:2766] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@32cf2faf'
[2024-11-14 18:01:36:2770] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'welcomePageHandlerMapping'
[2024-11-14 18:01:36:2771] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcConversionService'
[2024-11-14 18:01:36:2776] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'mvcResourceUrlProvider'
[2024-11-14 18:01:36:2780] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@26a9ae69'
[2024-11-14 18:01:36:2781] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'mvcConversionService'
[2024-11-14 18:01:36:2781] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
[2024-11-14 18:01:36:2799] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'welcomePageNotAcceptableHandlerMapping'
[2024-11-14 18:01:36:2800] DEBUG 22308 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory : Autowiring by type from bean name 'welcomePageNotAcceptableHandlerMapping' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@26a9ae69'
